M,k,model,seed,net_loss,net_loss_std,cash,ent_total,kl_track,l1_track,incons,n_subtrades,support_size
4,2,LOPAMM,1,11.259409,13.460569,153.258246,12.147334,0.019773,0.140573,,78,10
4,2,ind,1,7.204458,20.816701,190.570201,15.456162,0.033360,0.169493,,78,10
4,2,base,1,1.227896,4.560178,78.898238,1.086261,0.015591,0.119954,,59,10
4,2,LOPAMM,2,10.214303,16.431228,188.038522,16.857425,0.021421,0.146974,,80,10
4,2,ind,2,0.621970,12.519570,245.350891,14.963499,0.050604,0.205630,,80,10
4,2,base,2,2.049555,8.397496,97.386651,1.925736,0.019043,0.137524,,60,10
4,2,LOPAMM,3,25.392956,18.158115,187.958442,44.032340,0.024797,0.138107,,88,10
4,2,ind,3,30.179764,46.768085,240.060595,29.722286,0.039357,0.168842,,88,10
4,2,base,3,7.615544,18.662924,89.221079,8.758697,0.015856,0.102148,,64,10
4,2,LOPAMM,4,17.445402,12.566823,163.944591,35.893914,0.019320,0.115750,,92,10
4,2,ind,4,33.776290,46.204630,231.317121,32.734286,0.035308,0.150001,,92,10
4,2,base,4,8.736933,14.504697,69.866008,7.990343,0.010351,0.078711,,66,10
4,2,LOPAMM,5,14.672918,12.705546,211.199503,45.708771,0.019881,0.131431,,88,10
4,2,ind,5,37.428235,63.236780,350.022341,46.534342,0.064034,0.215666,,88,10
4,2,base,5,9.149465,17.268270,124.847084,11.294486,0.017451,0.122484,,64,10
4,2,LOPAMM,6,7.892879,8.530745,171.339946,14.640998,0.021824,0.141757,,80,10
4,2,ind,6,11.040000,21.924998,235.225494,16.562534,0.040867,0.187012,,80,10
4,2,base,6,3.001420,5.998252,89.896933,2.991105,0.018020,0.124239,,60,10
4,2,LOPAMM,7,9.172555,8.220871,186.193929,15.496379,0.018487,0.129621,,88,10
4,2,ind,7,8.796628,31.202856,255.026666,18.602926,0.046560,0.188621,,88,10
4,2,base,7,3.133020,8.535004,84.506589,3.065821,0.013857,0.111882,,64,10
4,2,LOPAMM,8,13.418551,9.136589,213.014551,30.665787,0.022754,0.118160,,94,10
4,2,ind,8,23.942086,29.045772,275.599428,29.790194,0.045617,0.165241,,94,10
4,2,base,8,8.301601,9.916650,105.901631,7.380502,0.016685,0.095803,,67,10
4,2,LOPAMM,9,10.343362,8.566771,154.202009,31.832597,0.012944,0.104402,,86,10
4,2,ind,9,21.689285,25.460471,214.669315,22.369142,0.031443,0.146347,,86,10
4,2,base,9,7.921273,11.889785,76.063166,7.150281,0.011610,0.093288,,63,10
4,2,LOPAMM,10,15.277508,14.002506,187.099142,48.836805,0.020271,0.134387,,86,10
4,2,ind,10,43.367460,50.595710,278.178372,39.688359,0.045428,0.186011,,86,10
4,2,base,10,11.648826,15.484088,101.622886,11.826662,0.013992,0.109916,,63,10
4,2,LOPAMM,11,8.590934,9.680188,200.336653,31.128081,0.013977,0.104292,,84,10
4,2,ind,11,30.907945,42.988856,293.780896,35.393536,0.045630,0.172749,,84,10
4,2,base,11,7.838904,9.977448,109.541980,7.699847,0.012126,0.098777,,62,10
4,2,LOPAMM,12,10.096865,12.900175,184.216202,24.243868,0.024045,0.156326,,82,10
4,2,ind,12,19.425822,30.914202,234.631574,18.077988,0.039669,0.184325,,82,10
4,2,base,12,6.460870,11.141992,86.235325,4.743936,0.014436,0.119275,,61,10
4,2,LOPAMM,13,33.649203,17.704926,233.352613,85.842351,0.024835,0.132882,,86,10
4,2,ind,13,72.592524,45.913727,365.973836,63.470943,0.058278,0.196606,,86,10
4,2,base,13,20.700588,15.984971,145.108918,19.758598,0.018439,0.112242,,63,10
4,2,LOPAMM,14,13.981226,13.707298,160.464227,10.748424,0.020291,0.132009,,92,10
4,2,ind,14,8.633895,13.714046,206.547650,12.840436,0.032090,0.159722,,92,10
4,2,base,14,0.003557,1.248054,67.187211,0.101470,0.012501,0.097109,,66,10
4,2,LOPAMM,15,5.189349,7.771620,133.392125,18.954529,0.010123,0.080984,,94,10
4,2,ind,15,16.133638,41.671433,192.519441,24.269337,0.025175,0.122328,,94,10
4,2,base,15,4.240902,9.741098,64.632390,4.586724,0.008792,0.072864,,67,10
4,2,LOPAMM,16,20.501397,12.774884,217.134669,53.713908,0.022696,0.133950,,90,10
4,2,ind,16,49.978941,43.961163,342.649818,44.578558,0.053281,0.193704,,90,10
4,2,base,16,14.406381,13.215083,125.486596,13.290589,0.020054,0.127216,,65,10
4,2,LOPAMM,17,7.498502,12.565177,166.448312,16.959086,0.021527,0.131366,,88,10
4,2,ind,17,10.818717,28.582716,192.352080,16.514062,0.028613,0.145017,,88,10
4,2,base,17,1.737359,8.756493,63.516947,1.963720,0.011843,0.088184,,64,10
4,2,LOPAMM,18,5.439928,8.519340,179.946040,14.050989,0.020721,0.132628,,98,10
4,2,ind,18,9.152713,15.484434,224.950746,8.803973,0.032254,0.149445,,98,10
4,2,base,18,2.519066,7.124323,63.428238,1.995756,0.009940,0.084666,,69,10
4,2,LOPAMM,19,20.066536,14.521877,175.817138,49.436801,0.018547,0.118981,,86,10
4,2,ind,19,49.187510,39.375773,238.641053,33.662045,0.036483,0.160805,,86,10
4,2,base,19,13.898445,14.723285,87.532885,10.533981,0.015031,0.099689,,63,10
4,2,LOPAMM,20,16.249101,12.069841,207.691465,53.189375,0.016620,0.107278,,86,10
4,2,ind,20,41.478923,60.208445,323.191675,51.454004,0.049013,0.171519,,86,10
4,2,base,20,10.765114,18.992335,118.556138,13.199029,0.014117,0.095457,,63,10
